Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,92.906311,94.072655,92.026772,92.992355,54.057781,9619853
2007-01-04,92.973228,94.445503,92.619499,93.986618,54.635757,11008627
2007-01-05,93.307838,93.642448,92.648186,93.135757,54.141159,7553480
2007-01-08,94.168259,95.124283,94.024857,94.550667,54.963638,10815640
2007-01-09,94.722755,95.917786,94.713196,95.669212,55.613865,11619177
2007-01-10,94.168259,94.694077,93.623329,94.541107,54.958076,9147061
2007-01-11,94.646271,95.506691,94.168259,94.311661,54.824692,8368732
2007-01-12,94.636711,95.305923,94.168259,94.971321,55.208172,6941779
2007-01-16,95.028679,96.405357,94.933075,96.386230,56.030674,10043901
2007-01-17,96.261948,96.462715,95.506691,95.621414,55.586075,8577932
2007-01-18,95.411087,95.554497,94.560226,95.076485,55.269299,15309361
2007-01-19,90.822182,92.590820,90.391968,91.940727,53.446426,27233447
2007-01-22,92.179733,92.954109,91.892921,92.839386,53.968838,14162108
2007-01-23,92.648186,93.097511,91.969406,92.810707,53.952156,10812920
2007-01-24,92.810707,93.288719,92.332695,93.116638,54.130043,5962200
2007-01-25,92.944550,93.613770,92.944550,93.221794,54.191143,6486560
2007-01-26,93.231361,93.527725,92.581261,93.164436,54.157791,6036571
2007-01-29,93.403442,94.321220,93.164436,94.206497,54.763573,7630361
2007-01-30,94.235184,95.076485,94.168259,95.000000,55.224869,7508083
2007-01-31,94.455070,95.105164,94.024857,94.789673,55.102581,6728500
2007-02-01,94.617592,94.818359,93.652008,94.646271,55.019196,6914792
2007-02-02,94.741875,95.344170,94.531548,94.808792,55.113689,6962490
2007-02-05,94.808792,96.022942,94.550667,95.965584,55.786144,8561301
2007-02-06,95.602295,95.984703,95.162521,95.458893,55.491611,6833309
2007-02-07,95.411087,95.946465,94.760994,95.162521,55.486038,8052317
2007-02-08,94.550667,95.353729,94.311661,95.239006,55.530647,6435201
2007-02-09,95.143402,95.315491,93.508606,94.216064,54.934181,6381018
2007-02-12,94.455070,94.837479,93.900574,94.244743,54.950905,5576226
2007-02-13,94.263863,94.397705,93.499046,93.967499,54.789249,5965129
